LINA:lina_po_parcelles_libres;[(fill, #00FF00), (stroke, #555555), (stroke-width, 0.1)];Parcelles Libres;Cadastre;Cadastre;Lyon
LINA:lina_po_bati;[(fill, #222222)];Bati;Cadastre;Cadastre;Lyon
LINA:lina_po_sect_cad;[(stroke, #B66838), (stroke-width, 2)];Secteurs cadastraux;Cadastre;Cadastre;Lyon
LINA:lina_po_communes_label;[(font-family, Arial), (font-size, 16), (font-style, normal), (font-weight, bold), (fill, #000000)];Noms des communes;Noms;Noms;Lyon
LINA:lina_po_sect_cad_label;[(font-family, Arial), (font-size, 16), (font-style, normal), (font-weight, bold), (fill, #000000)];Noms des secteurs cadastraux;Noms;Noms;Lyon
LINA:lina_po_parcelles_label;[(font-family, Arial), (font-size, 8), (font-style, normal), (font-weight, bold), (fill, #000000)];Numéros des parcelles;Noms;Noms;Lyon
LINA:lina_po_zonages_plu_agricole;[(fill, #ffffb3)];Zones agricoles (A);PLU / POS;Zones agricoles (A);Lyon
LINA:lina_po_zonages_plu_habitat_futur_proche;[(fill, #ffb400)];Zones d'habitat futur à court terme (AU1);PLU / POS;Zones d'habitat futur à court terme (AU1);Lyon
LINA:lina_po_zonages_plu_naturelle;[(fill, #b3de69)];Zones naturelles (N);PLU / POS;Zones naturelles (N);Lyon
LINA:lina_po_zonages_plu_touristique_loisirs_urbain;[(fill, #ccebc5)];Zones touristiques ou de loisir en milieu urbain (UT);PLU / POS;Zones touristiques ou de loisir en milieu urbain (UT);Lyon
LINA:lina_po_zonages_plu_activite_future;[(fill, #B00090)];Zones d'activité future (AUE);PLU / POS;Zones d'activité future (AUE);Lyon
LINA:lina_po_zonages_plu_habitat_futur_loin;[(fill, #ffe16f)];Zones d'habitat futur à moyen / long terme (AU2);PLU / POS;Zones d'habitat futur à moyen / long terme (AU2);Lyon
LINA:lina_po_zonages_plu_touristique_loisirs_naturelle;[(fill, #8dd3c7)];Zones touristiques ou de loisir en milieu naturel (NT);PLU / POS;Zones touristiques ou de loisir en milieu naturel (NT);Lyon
LINA:lina_po_parcelles;[(stroke, #444444), (stroke-width, 0.1)];Parcelles;Cadastre;Cadastre;Lyon
LINA:lina_po_zonages_plu_activite_existante_limites;[(stroke, #000000), (stroke-width, 2), (font-family, Arial), (font-size, 12), (font-style, normal), (font-weight, bold), (fill, #000000)];Zones d'activité existante (UE) (limites);PLU / POS;Zones d'activité existante (UE);Lyon
LINA:lina_po_zonages_plu_touristique_loisirs_futur;[(fill, #1f78b4)];Zones touristiques ou de loisir futures (AUT);PLU / POS;Zones touristiques ou de loisir futures (AUT);Lyon
